step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
99,400,99,1,198,0.0108838812,0.00774924933;0.004070270227;0.02083212403,0.01059003084;0.01117773156,biomass;glucose;product,T_run_2;T_run_1,0.010889,0,,,0.0108838812,0.010889,0.003713310855,0,
100,400,100,1,200,0.01070299818,0.007985030094;0.004155578678;0.01996838578,0.01096541359;0.01044058278,biomass;glucose;product,T_run_1;T_run_2,0.010114,0,,,0.01070299818,0.010114,0.003926846944,0,
101,400,101,1,202,0.01052565455,0.008152199215;0.004222535554;0.01920222887,0.01076007828;0.01029123082,biomass;glucose;product,T_run_1;T_run_2,0.010080,0,,,0.01052565455,0.010080,0.004147563343,0,
102,400,102,1,204,0.01034087367,0.00823824815;0.004265470355;0.0185189025,0.01054463788;0.01013710946,biomass;glucose;product,T_run_1;T_run_2,0.008586,0,,,0.01034087367,0.008586,0.004317062284,0,
103,400,103,1,206,0.01014202973,0.008239317433;0.004283509568;0.01790326219,0.009975266704;0.01030879276,biomass;glucose;product,T_run_2;T_run_1,0.009972,0,,,0.01014202973,0.009972,0.004410442386,0,
104,400,104,1,208,0.009926948651,0.008159738355;0.004280369573;0.01734073802,0.01004914851;0.009804748788,biomass;glucose;product,T_run_1;T_run_2,0.012528,0,,,0.009926948651,0.012528,0.00442078151,0,
105,400,105,1,210,0.009697404415,0.008010815801;0.004263512615;0.01681788483,0.009626389677;0.009768419153,biomass;glucose;product,T_run_2;T_run_1,0.012163,0,,,0.009697404415,0.012163,0.004351689279,0,
106,400,106,1,212,0.009458219609,0.007809099141;0.00424288254;0.01632267714,0.009442409107;0.009474030111,biomass;glucose;product,T_run_2;T_run_1,0.011177,0,,,0.009458219609,0.011177,0.004216048338,0,
107,400,107,1,214,0.009216124549,0.007574347042;0.004229277665;0.01584474894,0.009255893366;0.009176355732,biomass;glucose;product,T_run_2;T_run_1,0.011473,0,,,0.009216124549,0.011473,0.00403879561,0,
108,400,108,1,216,0.008978439612,0.007327250132;0.004232400303;0.0153756684,0.009070210865;0.00888666836,biomass;glucose;product,T_run_2;T_run_1,0.011298,0,,,0.008978439612,0.011298,0.003861059746,0,
109,400,109,1,218,0.00875116206,0.00708572283;0.00425816925;0.0149095941,0.008888417959;0.00861390616,biomass;glucose;product,T_run_2;T_run_1,0.009932,0,,,0.00875116206,0.009932,0.003738004484,0,
110,400,110,1,220,0.008537806554,0.006862979068;0.004306810958;0.01444362964,0.008712749069;0.008362864039,biomass;glucose;product,T_run_2;T_run_1,0.011207,0,,,0.008537806554,0.011207,0.003722617701,0,
