step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
48,800,48,1,144,1.48523674,0.002776239891;0.009748886819;0.00356063312;5.924861202,1.484157326;1.486296605;1.48525629,biomass;glucose;product;gp_nll,run_2;run_3;run_1,8.648981,0,,,1.48523674,8.648981,1.436418734,0,
49,800,49,1,147,1.472133956,0.00283155578;0.009655915228;0.003617471148;5.872430882,1.472140319;1.471038943;1.473222606,biomass;glucose;product;gp_nll,run_1;run_2;run_3,9.463425,0,,,1.472133956,9.463425,1.42337447,0,
50,800,50,1,150,1.459207527,0.002885128408;0.009567207537;0.00367107388;5.820706699,1.460322686;1.459200594;1.458099301,biomass;glucose;product;gp_nll,run_3;run_1;run_2,8.606576,0,,,1.459207527,8.606576,1.410503829,0,
51,800,51,1,153,1.446454173,0.002936668475;0.009482448674;0.003721277948;5.769676299,1.447593481;1.446433935;1.445335104,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.900483,0,,,1.446454173,7.900483,1.397803953,0,
52,800,52,1,156,1.433870692,0.002985931281;0.009401335891;0.003767950553;5.719327551,1.433837224;1.432743128;1.435031725,biomass;glucose;product;gp_nll,run_1;run_2;run_3,7.692774,0,,,1.433870692,7.692774,1.385272021,0,
53,800,53,1,159,1.421453975,0.003032723686;0.009323614195;0.003811005004;5.669648556,1.420320271;1.421407406;1.422634247,biomass;glucose;product;gp_nll,run_2;run_1;run_3,8.161162,0,,,1.421453975,8.161162,1.372905275,0,
54,800,54,1,162,1.409200942,0.00307685389;0.009248950027;0.003850325326;5.620627641,1.410397969;1.409141492;1.408063367,biomass;glucose;product;gp_nll,run_3;run_1;run_2,9.249848,0,,,1.409200942,9.249848,1.360700967,0,
55,800,55,1,165,1.397108638,0.003118217208;0.009177085276;0.003885886009;5.572253365,1.395969462;1.397036554;1.398319899,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.868186,0,,,1.397108638,7.868186,1.348656439,0,
56,800,56,1,168,1.385174141,0.003156638119;0.00910781916;0.003917588212;5.524514519,1.38403556;1.38639713;1.385089733,biomass;glucose;product;gp_nll,run_2;run_3;run_1,8.922145,0,,,1.385174141,8.922145,1.336769068,0,
57,800,57,1,171,1.373394634,0.003192066713;0.009040890018;0.003945450899;5.477400128,1.37225883;1.37462684;1.373298231,biomass;glucose;product;gp_nll,run_2;run_3;run_1,8.457284,0,,,1.373394634,8.457284,1.32503631,0,
58,800,58,1,174,1.361767352,0.003224428032;0.00897608214;0.003969453543;5.430899444,1.363006282;1.360636455;1.361659319,biomass;glucose;product;gp_nll,run_3;run_2;run_1,8.572076,0,,,1.361767352,8.572076,1.313455665,0,
59,800,59,1,177,1.350289605,0.003253674412;0.008913188587;0.003989603157;5.385001954,1.351532791;1.349165691;1.350170333,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.808095,0,,,1.350289605,7.808095,1.3020247,0,
60,800,60,1,180,1.338958771,0.003279776414;0.008852015501;0.004005921277;5.339697371,1.340203779;1.337843861;1.338828673,biomass;glucose;product;gp_nll,run_3;run_2;run_1,8.631179,0,,,1.338958771,8.631179,1.290741038,0,
61,800,61,1,183,1.327772298,0.003302723361;0.008792383057;0.004018444899;5.294975641,1.329016737;1.326668351;1.327631805,biomass;glucose;product;gp_nll,run_3;run_2;run_1,9.397763,0,,,1.327772298,9.397763,1.279602365,0,
62,800,62,1,186,1.316727727,0.003322530939;0.008734209288;0.004027234719;5.250826931,1.317969228;1.315636689;1.316577263,biomass;glucose;product;gp_nll,run_3;run_2;run_1,8.587352,0,,,1.316727727,8.587352,1.26860646,0,
63,800,63,1,189,1.305822586,0.00333919893;0.00867717466;0.004032333986;5.207241637,1.307058889;1.305662642;1.304746228,biomass;glucose;product;gp_nll,run_3;run_1;run_2,8.734115,0,,,1.305822586,8.734115,1.257751054,0,
64,800,64,1,192,1.295054547,0.003352771288;0.008621216821;0.004033828506;5.164210372,1.29399461;1.296283429;1.294885603,biomass;glucose;product;gp_nll,run_2;run_3;run_1,8.618847,0,,,1.295054547,8.618847,1.247034038,0,
65,800,65,1,195,1.284421315,0.003363288067;0.008566199434;0.004031800914;5.121723972,1.285640629;1.28424387;1.283379446,biomass;glucose;product;gp_nll,run_3;run_1;run_2,8.692653,0,,,1.284421315,8.692653,1.236453303,0,
66,800,66,1,198,1.273920702,0.003370798569;0.008512188355;0.004026335792;5.079773484,1.275128416;1.272898459;1.27373523,biomass;glucose;product;gp_nll,run_3;run_2;run_1,8.097295,0,,,1.273920702,8.097295,1.226006921,0,
67,800,67,1,201,1.263550484,0.003375438089;0.008458723626;0.004017605966;5.03835017,1.264744553;1.263357529;1.262549371,biomass;glucose;product;gp_nll,run_3;run_1;run_2,6.685680,0,,,1.263550484,6.685680,1.215692749,0,
68,800,68,1,204,1.253308584,0.003377254766;0.00840588408;0.004005698347;4.997445498,1.254487097;1.253108676;1.252329978,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.164312,0,,,1.253308584,7.164312,1.205508911,0,
69,800,69,1,207,1.243192954,0.003376345302;0.008353585388;0.003990746248;4.957051139,1.244354097;1.242986635;1.242238129,biomass;glucose;product;gp_nll,run_3;run_1;run_2,8.344543,0,,,1.243192954,8.344543,1.195453508,0,
70,800,70,1,210,1.233201606,0.003372817384;0.008301752155;0.003972892949;4.917158963,1.232989431;1.232271727;1.234343662,biomass;glucose;product;gp_nll,run_1;run_2;run_3,8.218524,0,,,1.233201606,8.218524,1.185524685,0,
