step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
59,800,59,1,177,0.007436649787,0.01102201927;0.00572112211;0.005566807978,0.01041346843;0.004965792683;0.006930688243,biomass;glucose;product,run_3;run_2;run_1,0.015113,0,,,0.007436649787,0.015113,0.03074385121,0,
60,800,60,1,180,0.007387588916,0.01012985665;0.006060413219;0.005972496878,0.009707806302;0.004958158449;0.007496801997,biomass;glucose;product,run_3;run_2;run_1,0.009211,0,,,0.007387588916,0.009211,0.02834879343,0,
61,800,61,1,183,0.007465401082,0.009369297216;0.006495595737;0.006531310293,0.009334779523;0.005065059745;0.007996363979,biomass;glucose;product,run_3;run_2;run_1,0.014838,0,,,0.007465401082,0.014838,0.02899455892,0,
62,800,62,1,186,0.007549140684,0.008734516048;0.006960515128;0.006952390876,0.009189082208;0.005180182122;0.008278157722,biomass;glucose;product,run_3;run_2;run_1,0.008015,0,,,0.007549140684,0.008015,0.03078854609,0,
63,800,63,1,189,0.007547823186,0.008210584;0.00737439212;0.007058493439,0.009170099179;0.008251863093;0.005221507287,biomass;glucose;product,run_3;run_1;run_2,0.029541,0,,,0.007547823186,0.029541,0.03177800691,0,
64,800,64,1,192,0.007424936043,0.007772583154;0.007661881716;0.006840343259,0.005154877925;0.009211950206;0.007907979997,biomass;glucose;product,run_2;run_3;run_1,0.013851,0,,,0.007424936043,0.013851,0.03108705601,0,
65,800,65,1,195,0.007197087682,0.007392042906;0.007776691865;0.006422528274,0.00928623855;0.007310562198;0.004994462297,biomass;glucose;product,run_3;run_1;run_2,0.007042,0,,,0.007197087682,0.007042,0.02880686792,0,
66,800,66,1,198,0.006913357238,0.007048085863;0.007716425923;0.00597555993,0.009385052686;0.004785120973;0.006569898056,biomass;glucose;product,run_3;run_2;run_1,0.015014,0,,,0.006913357238,0.015014,0.02570384336,0,
67,800,67,1,201,0.006627346236,0.006735957361;0.007520010922;0.005626070427,0.009497781149;0.005806816783;0.004577440777,biomass;glucose;product,run_3;run_1;run_2,0.020120,0,,,0.006627346236,0.020120,0.0230043205,0,
68,800,68,1,204,0.006374195086,0.006466117348;0.007250549857;0.005405918053,0.009595104431;0.005120982174;0.004406498653,biomass;glucose;product,run_3;run_1;run_2,0.050557,0,,,0.006374195086,0.050557,0.02196842636,0,
69,800,69,1,207,0.006160919911,0.006252919404;0.006970691449;0.005259148881,0.009629428768;0.004571301052;0.004282029913,biomass;glucose;product,run_3;run_1;run_2,0.009591,0,,,0.006160919911,0.009591,0.02298331128,0,
70,800,70,1,210,0.005971145827,0.006098338047;0.00671778112;0.005097318313,0.004171849424;0.004191031038;0.009550557019,biomass;glucose;product,run_1;run_2;run_3,0.020397,0,,,0.005971145827,0.020397,0.02518014997,0,
71,800,71,1,213,0.005776967515,0.005981009121;0.006486941839;0.004862951584,0.009323631017;0.004107738072;0.003899533455,biomass;glucose;product,run_3;run_2;run_1,0.014389,0,,,0.005776967515,0.014389,0.02723039536,0,
72,800,72,1,216,0.005551576781,0.005861988669;0.006237715309;0.004555026366,0.004005409186;0.008938203324;0.003711117834,biomass;glucose;product,run_2;run_3;run_1,0.019116,0,,,0.005551576781,0.019116,0.02805024451,0,
73,800,73,1,219,0.005280427314,0.005703883969;0.005926121234;0.004211276741,0.003564222264;0.008410103543;0.003866956136,biomass;glucose;product,run_1;run_3;run_2,0.012735,0,,,0.005280427314,0.012735,0.02701705288,0,
74,800,74,1,222,0.004966204455,0.005488099132;0.005534905358;0.003875608874,0.007778431318;0.003689315645;0.003430866401,biomass;glucose;product,run_3;run_2;run_1,0.013663,0,,,0.004966204455,0.013663,0.02400929135,0,
75,800,75,1,225,0.004627488999,0.005222672174;0.005085414735;0.003574380087,0.003301778339;0.003482563201;0.007098125456,biomass;glucose;product,run_1;run_2;run_3,0.015141,0,,,0.004627488999,0.015141,0.01943139702,0,
76,800,76,1,228,0.004292396494,0.004936560454;0.004629591241;0.003311037788,0.003183231515;0.003265350978;0.006428606988,biomass;glucose;product,run_1;run_2;run_3,0.014866,0,,,0.004292396494,0.014866,0.01427217438,0,
