step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
78,400,78,1,234,0.0008969461465,0.0001123474853;0.001681544808,0.000922947883;0.0007641629253;0.001003727631,biomass;glyco_frac,run_2;run_1;run_3,0.002437,0,,,0.0008969461465,0.002437,0.009390543738,0,
79,400,79,1,237,0.0008434779901,9.275601236e-05;0.001594199968,0.0009444535261;0.0007261154791;0.0008598649651,biomass;glyco_frac,run_3;run_1;run_2,0.002259,0,,,0.0008434779901,0.002259,0.008281064268,0,
80,400,80,1,240,0.0008092019511,0.0001059146321;0.00151248927,0.0008966863112;0.0008282642724;0.0007026552697,biomass;glyco_frac,run_3;run_2;run_1,0.003025,0,,,0.0008092019511,0.003025,0.008605365355,0,
81,400,81,1,243,0.0007891216639,0.0001421865785;0.001436056749,0.0008198812907;0.0008580067558;0.0006894769452,biomass;glyco_frac,run_2;run_3;run_1,0.003772,0,,,0.0007891216639,0.003772,0.009958108363,0,
82,400,82,1,246,0.0007768751024,0.0001891818804;0.001364568324,0.0008253064594;0.0008240368678;0.0006812819798,biomass;glyco_frac,run_3;run_2;run_1,0.002711,0,,,0.0007768751024,0.002711,0.01161020873,0,
83,400,83,1,249,0.0007659774424,0.0002342443541;0.001297710531,0.0007953896437;0.0006727677639;0.0008297749195,biomass;glyco_frac,run_3;run_1;run_2,0.002384,0,,,0.0007659774424,0.002384,0.01304654082,0,
84,400,84,1,252,0.000751074597,0.0002669598776;0.001235189316,0.0006596188683;0.0007655824927;0.00082802243,biomass;glyco_frac,run_1;run_3;run_2,0.003992,0,,,0.000751074597,0.003992,0.01398958131,0,
85,400,85,1,255,0.0007288803174,0.0002810317371;0.001176728898,0.0008132075174;0.0006392429191;0.0007341905158,biomass;glyco_frac,run_2;run_1;run_3,0.003115,0,,,0.0007288803174,0.003115,0.0143178883,0,
86,400,86,1,258,0.0006985577561,0.0002750448388;0.001122070673,0.0007839225602;0.0007006869877;0.0006110637203,biomass;glyco_frac,run_2;run_3;run_1,0.002942,0,,,0.0006985577561,0.002942,0.01401700615,0,
87,400,87,1,261,0.0006614888167,0.0002520054365;0.001070972197,0.0005763282341;0.0006656043633;0.0007425338528,biomass;glyco_frac,run_1;run_3;run_2,0.003455,0,,,0.0006614888167,0.003455,0.01315053406,0,
